Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
hrmM8lWM,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,24/08/2024,15:00,Round 12,Argentinos Jrs,Huracan,0,0,[],[],bet365,3.5,1.73,4.75,bet365,2.45,2.63,3.7,bet365,1.8,1.91,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.2,4.33,bet365,1.83,1.83,bet365,4.0,1.25,bet365,10.0,1.06,bet365,23.0,1.01,bet365,2.75,1.4,bet365,1.29,1.44,1.53,bet365,4.33,bet365,6.5,bet365,15.0,bet365,41.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,67.0,bet365,26.0,bet365,34.0,bet365,51.0,bet365,126.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,4.65,1.18,bet365,2.38,1.55,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,35.0,13.0,1.03,Betano.br,17.5,7.2,1.13,bet365,6.0,3.6,1.53,Betano.br,1.28,4.7,11.5,Betano.br,1.05,10.25,30.0,Betano.br,1.01,15.0,40.0,,,,,,,,,,,0.61,0.39,0.75,0.74,,,,,,,,,15.0,14.0,4.0,2.0,5.0,7.0,6.0,5.0,,,,,,,,,,,9.0,2.0,9.0,14.0,43.0,16.0,13.0,9.0,4.0,1.0,,,2.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.63,0.37,2.0,1.0,0.0,1.0,2.0,0.0,,,4.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,,,,,,,0.59,0.41,13.0,13.0,4.0,1.0,3.0,7.0,,,5.0,2.0,3.0,1.0,,,9.0,6.0,2.0,0.0,1.0,4.0
OQwh3Sgp,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,24/08/2024,14:30,Round 12,Dep. Riestra,Sarmiento Junin,2,1,"[41, 82]",[11],bet365,2.88,1.83,5.5,bet365,2.05,3.0,4.2,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.67,2.1,bet365,3.1,1.36,bet365,7.0,1.1,bet365,17.0,1.03,bet365,2.5,1.5,bet365,1.22,1.36,1.73,bet365,5.5,bet365,7.5,bet365,19.0,bet365,51.0,bet365,4.75,bet365,6.5,bet365,17.0,bet365,41.0,bet365,8.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,19.0,bet365,23.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.3,1.33,bet365,2.05,1.8,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,25.0,11.0,1.05,Betano.br,11.25,5.9,1.22,bet365,4.33,3.4,1.73,Betano.br,1.24,5.2,12.5,Betano.br,1.05,10.75,32.0,,0.0,0.0,0.0,,,,,,,,,,,0.46,0.54,0.75,0.64,,,,,,,,,17.0,10.0,5.0,4.0,5.0,4.0,7.0,2.0,,,,,,,,,,,5.0,7.0,19.0,14.0,19.0,42.0,14.0,18.0,4.0,3.0,,,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.51,0.49,7.0,7.0,2.0,3.0,4.0,2.0,,,3.0,3.0,3.0,1.0,9.0,10.0,0.0,0.0,2.0,1.0,,,,,,,0.41,0.59,10.0,3.0,3.0,1.0,1.0,2.0,,,2.0,4.0,1.0,2.0,,,5.0,8.0,2.0,1.0,1.0,2.0
jciMk9Pp,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,23/08/2024,18:00,Round 12,Ind. Rivadavia,Platense,0,2,[],"[9, 87]",bet365,3.5,1.73,4.75,bet365,2.45,2.7,3.6,bet365,1.85,1.95,bet365,6.0,1.13,bet365,21.0,1.02,bet365,1.18,4.5,bet365,1.83,1.83,bet365,4.0,1.25,bet365,10.0,1.06,bet365,23.0,1.01,bet365,2.75,1.4,bet365,1.29,1.44,1.53,bet365,4.33,bet365,6.5,bet365,15.0,bet365,41.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,67.0,bet365,26.0,bet365,34.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,4.5,1.19,bet365,2.38,1.55,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,35.0,13.0,1.03,Betano.br,17.0,7.1,1.14,bet365,6.0,3.6,1.53,Betano.br,1.28,4.75,11.25,Betano.br,1.06,10.0,29.0,,0.0,0.0,0.0,,,,,,,,,,,0.7,0.3,0.74,0.51,,,,,,,,,9.0,12.0,0.0,3.0,8.0,9.0,1.0,0.0,,,,,,,,,,,1.0,5.0,14.0,9.0,44.0,31.0,7.0,12.0,2.0,1.0,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.66,0.34,3.0,7.0,0.0,2.0,2.0,5.0,,,0.0,5.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,,,,,,,0.74,0.26,6.0,5.0,0.0,1.0,6.0,4.0,,,1.0,0.0,1.0,0.0,,,2.0,4.0,1.0,0.0,0.0,0.0
On7sciXA,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,19/08/2024,21:00,Round 11,Defensa y Justicia,Banfield,1,0,[53],[],bet365,3.0,2.0,4.0,bet365,2.35,3.2,3.25,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.0,1.75,bet365,1.33,1.33,1.62,bet365,7.5,bet365,8.0,bet365,15.0,bet365,34.0,bet365,6.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,17.0,bet365,41.0,bet365,21.0,bet365,21.0,bet365,34.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,3.9,1.24,bet365,2.3,1.6,bet365,1.38,3.0,bet365,1.13,6.0,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,26.0,12.0,1.04,Betano.br,13.0,6.8,1.17,bet365,4.75,3.75,1.62,Betano.br,1.39,4.45,7.5,Betano.br,1.1,8.5,19.0,Betano.br,1.02,14.0,35.0,,,,,,,,,,,0.49,0.51,0.81,0.76,,,,,,,,,15.0,9.0,3.0,3.0,8.0,4.0,4.0,2.0,,,,,,,,,,,4.0,6.0,9.0,9.0,24.0,33.0,10.0,11.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.6,0.4,10.0,4.0,1.0,1.0,5.0,2.0,,,1.0,3.0,1.0,1.0,3.0,7.0,1.0,0.0,1.0,1.0,,,,,,,0.38,0.62,5.0,5.0,2.0,2.0,3.0,2.0,,,3.0,3.0,0.0,1.0,,,7.0,4.0,1.0,1.0,2.0,1.0
vJHhFDVs,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,19/08/2024,18:45,Round 11,Godoy Cruz,Dep. Riestra,4,1,"[8, 10, 45, 66]",[84],bet365,2.5,1.91,6.5,bet365,1.65,3.4,6.0,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.63,1.44,bet365,1.14,1.33,2.0,bet365,5.5,bet365,9.5,bet365,26.0,bet365,67.0,bet365,4.5,bet365,7.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,101.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.0,1.38,bet365,2.2,1.65,bet365,1.63,2.25,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,15.5,8.25,1.12,Betano.br,6.8,4.75,1.39,bet365,3.4,3.25,2.0,Betano.br,1.14,6.6,18.5,Betano.br,1.03,13.0,40.0,,0.0,0.0,0.0,,,,,,,,,,,0.59,0.41,0.72,0.6,,,,,,,,,11.0,10.0,7.0,4.0,3.0,5.0,1.0,1.0,,,,,,,,,,,3.0,3.0,19.0,7.0,23.0,24.0,7.0,15.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.64,0.36,6.0,4.0,4.0,2.0,1.0,1.0,,,2.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,1.0,,,,,,,0.54,0.46,5.0,6.0,3.0,2.0,2.0,4.0,,,1.0,2.0,1.0,2.0,1.0,0.0,3.0,11.0,0.0,2.0,1.0,2.0
QZF0Di0f,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,19/08/2024,18:45,Round 11,Union de Santa Fe,Argentinos Jrs,3,0,"[25, 32, 66]",[],bet365,3.25,1.8,4.5,bet365,2.25,2.8,4.0,bet365,1.75,2.05,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.17,5.0,bet365,1.73,2.0,bet365,3.5,1.3,bet365,8.0,1.08,bet365,19.0,1.02,bet365,2.38,1.53,bet365,1.25,1.4,1.57,bet365,5.0,bet365,7.5,bet365,17.0,bet365,41.0,bet365,5.5,bet365,5.5,bet365,15.0,bet365,41.0,bet365,9.5,bet365,11.0,bet365,21.0,bet365,51.0,bet365,23.0,bet365,26.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,3.8,1.25,bet365,2.2,1.65,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,28.0,11.75,1.04,Betano.br,13.0,6.4,1.18,bet365,5.5,3.6,1.57,Betano.br,1.26,4.9,11.75,Betano.br,1.05,10.25,30.0,Betano.br,1.01,15.5,40.0,,,,,,,,,,,0.47,0.53,0.76,0.82,,,,,,,,,10.0,17.0,5.0,4.0,2.0,8.0,3.0,5.0,,,,,,,,,,,3.0,4.0,14.0,10.0,14.0,21.0,10.0,13.0,2.0,2.0,,,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,0.51,0.49,7.0,9.0,3.0,2.0,1.0,2.0,,,2.0,3.0,1.0,2.0,6.0,5.0,1.0,1.0,2.0,1.0,,,,,,,0.43,0.57,3.0,8.0,2.0,2.0,1.0,6.0,,,1.0,1.0,1.0,0.0,,,4.0,8.0,0.0,1.0,2.0,1.0
8b55CBF0,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,18/08/2024,20:30,Round 11,Huracan,Belgrano,1,0,[36],[],bet365,2.2,1.95,9.0,bet365,1.48,4.0,7.0,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.7,1.44,bet365,6.0,1.13,bet365,13.0,1.04,bet365,3.0,1.36,bet365,1.1,1.22,2.63,bet365,6.5,bet365,11.0,bet365,34.0,bet365,101.0,bet365,4.33,bet365,9.0,bet365,26.0,bet365,81.0,bet365,5.0,bet365,10.0,bet365,34.0,bet365,101.0,bet365,9.5,bet365,19.0,bet365,51.0,bet365,151.0,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.6,1.48,bet365,1.93,1.93,bet365,1.48,2.6,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.0,7.1,1.17,Betano.br,5.3,4.2,1.53,bet365,2.6,3.2,2.63,Betano.br,1.09,8.25,27.0,Betano.br,1.01,14.5,45.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,0.83,0.8,,,,,,,,,10.0,11.0,4.0,3.0,4.0,3.0,2.0,5.0,,,,,,,,,,,2.0,3.0,15.0,10.0,19.0,20.0,11.0,14.0,3.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.58,0.42,9.0,3.0,3.0,2.0,4.0,0.0,,,2.0,0.0,1.0,2.0,4.0,7.0,0.0,0.0,2.0,2.0,,,,,,,0.48,0.52,1.0,8.0,1.0,1.0,0.0,3.0,,,0.0,3.0,2.0,2.0,1.0,0.0,7.0,7.0,1.0,0.0,1.0,1.0
WY1N1FIu,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,18/08/2024,17:00,Round 11,Atl. Tucuman,Estudiantes L.P.,2,0,"[57, 66]",[],bet365,3.4,1.83,4.33,bet365,2.45,2.9,3.4,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.62,2.2,bet365,3.1,1.36,bet365,6.5,1.11,bet365,17.0,1.03,bet365,2.38,1.53,bet365,1.3,1.4,1.53,bet365,5.5,bet365,7.0,bet365,15.0,bet365,41.0,bet365,5.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,23.0,bet365,26.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.25,1.21,bet365,2.38,1.55,bet365,1.33,3.3,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,30.0,12.5,1.03,Betano.br,15.0,6.9,1.15,bet365,5.5,3.75,1.53,Betano.br,1.32,4.6,9.25,Betano.br,1.08,9.25,24.0,Betano.br,1.02,15.0,37.0,,,,,,,,,,,0.4,0.6,0.83,0.77,,,,,,,,,13.0,10.0,8.0,0.0,3.0,7.0,2.0,3.0,,,,,,,,,,,3.0,8.0,10.0,7.0,7.0,7.0,13.0,17.0,0.0,3.0,,,5.0,4.0,0.0,6.0,,,,,,,,,,,,,,,,,,,0.44,0.56,5.0,3.0,2.0,0.0,2.0,2.0,,,2.0,5.0,,,9.0,7.0,2.0,3.0,0.0,2.0,,,,,,,0.36,0.64,8.0,7.0,6.0,0.0,1.0,5.0,,,1.0,3.0,0.0,3.0,,,4.0,10.0,3.0,1.0,0.0,4.0
nqHdEXpl,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,18/08/2024,17:00,Round 11,Sarmiento Junin,Tigre,0,0,[],[],bet365,3.75,1.83,3.75,bet365,2.8,2.88,2.88,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.13,6.0,bet365,1.62,2.2,bet365,2.88,1.4,bet365,6.5,1.11,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.4,1.4,1.4,bet365,5.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,6.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,5.5,1.15,bet365,2.75,1.43,bet365,1.43,2.75,bet365,1.15,5.5,bet365,1.11,6.6,,0.0,0.0,,0.0,0.0,Betano.br,35.0,13.5,1.03,Betano.br,18.0,7.9,1.11,bet365,6.5,4.0,1.4,Betano.br,1.44,4.1,7.3,Betano.br,1.11,8.0,19.5,Betano.br,1.02,14.0,35.0,,,,,,,,,,,0.3,0.7,0.7,0.85,,,,,,,,,21.0,18.0,6.0,5.0,12.0,7.0,3.0,6.0,,,,,,,,,,,3.0,7.0,13.0,20.0,26.0,20.0,15.0,8.0,0.0,2.0,,,4.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,0.29,0.71,7.0,11.0,4.0,4.0,0.0,1.0,,,0.0,5.0,0.0,1.0,6.0,3.0,2.0,2.0,4.0,4.0,,,,,,,0.31,0.69,14.0,7.0,2.0,1.0,12.0,6.0,,,3.0,2.0,0.0,1.0,,,9.0,5.0,2.0,0.0,1.0,2.0
AP0R0ZXo,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,18/08/2024,14:30,Round 11,Boca Juniors,San Lorenzo,3,2,"[50, 54, 90]","[20, 90]",bet365,2.6,1.91,6.0,bet365,1.8,3.3,5.0,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.13,6.0,bet365,1.62,2.2,bet365,2.88,1.4,bet365,6.5,1.11,bet365,15.0,1.03,bet365,2.63,1.44,bet365,1.17,1.33,1.95,bet365,5.5,bet365,8.5,bet365,23.0,bet365,67.0,bet365,4.5,bet365,7.0,bet365,19.0,bet365,51.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,126.0,,0.0,0.0,,0.0,0.0,bet365,3.55,1.28,bet365,2.68,1.45,bet365,1.83,2.03,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,20.0,9.5,1.08,Betano.br,8.75,5.2,1.29,bet365,3.5,3.25,1.95,Betano.br,1.18,5.9,15.0,Betano.br,1.03,11.75,35.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,0.73,0.65,,,,,,,,,8.0,10.0,4.0,2.0,2.0,5.0,2.0,3.0,,,,,,,,,,,5.0,3.0,15.0,15.0,36.0,47.0,15.0,15.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.58,0.42,1.0,7.0,0.0,1.0,0.0,3.0,,,2.0,3.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,,,,,,,0.52,0.48,7.0,3.0,4.0,1.0,2.0,2.0,,,3.0,0.0,5.0,2.0,1.0,0.0,11.0,9.0,1.0,0.0,0.0,1.0
4n0Vagmh,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,17/08/2024,20:00,Round 11,Talleres Cordoba,Ind. Rivadavia,2,1,"[75, 90]",[45],bet365,2.88,1.91,5.0,bet365,2.05,3.25,3.9,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.25,1.33,1.73,bet365,6.0,bet365,7.5,bet365,17.0,bet365,41.0,bet365,5.0,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.05,1.8,bet365,1.26,3.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,10.75,1.06,Betano.br,10.75,5.9,1.23,bet365,4.33,3.5,1.73,Betano.br,1.25,5.2,11.25,Betano.br,1.06,10.25,27.0,Betano.br,1.01,15.5,40.0,,,,,,,,,,,0.7,0.3,0.89,0.71,,,,,,,,,23.0,3.0,7.0,2.0,10.0,1.0,6.0,0.0,,,,,,,,,,,2.0,0.0,6.0,13.0,30.0,27.0,11.0,7.0,1.0,5.0,,,5.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,0.71,0.29,0.0,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,2.0,10.0,4.0,1.0,1.0,0.0,0.0,,,,,,,0.69,0.31,23.0,2.0,7.0,1.0,10.0,1.0,,,1.0,0.0,1.0,3.0,,,1.0,3.0,4.0,1.0,1.0,5.0
pd8wbXH4,ARGENTINA,2024,Torneo Betano 2024,ARGENTINA 1,17/08/2024,20:00,Round 11,Velez Sarsfield,Instituto,1,0,[15],[],bet365,2.75,1.95,5.0,bet365,2.0,3.2,4.2,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.22,1.36,1.8,bet365,6.5,bet365,8.5,bet365,19.0,bet365,51.0,bet365,5.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,9.5,bet365,21.0,bet365,51.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.1,1.35,bet365,2.03,1.83,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,22.0,10.25,1.07,Betano.br,9.75,5.7,1.25,bet365,4.0,3.5,1.8,Betano.br,1.25,5.2,11.25,Betano.br,1.06,10.25,28.0,Betano.br,1.01,15.0,40.0,,,,,,,,,,,0.53,0.47,0.72,0.81,,,,,,,,,12.0,13.0,4.0,3.0,8.0,7.0,0.0,3.0,,,,,,,,,,,7.0,8.0,0.0,12.0,25.0,27.0,10.0,13.0,3.0,3.0,,,4.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.55,0.45,1.0,2.0,1.0,0.0,0.0,2.0,,,5.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,,,,,,,0.5,0.5,11.0,11.0,3.0,3.0,8.0,5.0,,,2.0,8.0,2.0,1.0,,,7.0,6.0,4.0,0.0,3.0,3.0
